post_id,user,text,created_at,category,likes,reposts,replies
post_1,user8@bsky.social,Sample Bluesky post content 1. This is a random text post.,2025-02-16 04:27:44,Politics,86,21,5
post_2,user18@bsky.social,Sample Bluesky post content 2. This is a random text post.,2025-02-11 12:12:44,Tech,44,19,14
post_3,user41@bsky.social,Sample Bluesky post content 3. This is a random text post.,2025-02-14 12:38:44,Tech,62,22,15
post_4,user7@bsky.social,Sample Bluesky post content 4. This is a random text post.,2025-02-19 12:01:44,Tech,52,30,2
post_5,user46@bsky.social,Sample Bluesky post content 5. This is a random text post.,2025-02-08 21:34:44,Health,12,12,3
post_6,user18@bsky.social,Sample Bluesky post content 6. This is a random text post.,2025-02-01 15:07:44,Politics,27,44,10
post_7,user44@bsky.social,Sample Bluesky post content 7. This is a random text post.,2025-02-11 00:31:44,Politics,72,15,18
post_8,user19@bsky.social,Sample Bluesky post content 8. This is a random text post.,2025-02-20 09:42:44,Politics,79,36,6
post_9,user36@bsky.social,Sample Bluesky post content 9. This is a random text post.,2025-02-07 23:41:44,Politics,50,44,20
post_10,user19@bsky.social,Sample Bluesky post content 10. This is a random text post.,2025-02-07 11:28:44,Sports,94,29,12
post_11,user29@bsky.social,Sample Bluesky post content 11. This is a random text post.,2025-02-17 13:24:44,Health,58,30,11
post_12,user13@bsky.social,Sample Bluesky post content 12. This is a random text post.,2025-02-14 01:31:44,Science,24,46,1
post_13,user40@bsky.social,Sample Bluesky post content 13. This is a random text post.,2025-02-08 18:35:44,Entertainment,73,35,2
post_14,user22@bsky.social,Sample Bluesky post content 14. This is a random text post.,2025-02-02 00:52:44,Health,55,45,19
post_15,user15@bsky.social,Sample Bluesky post content 15. This is a random text post.,2025-01-29 21:40:44,Entertainment,68,14,6
post_16,user3@bsky.social,Sample Bluesky post content 16. This is a random text post.,2025-01-30 22:52:44,Tech,46,46,16
post_17,user22@bsky.social,Sample Bluesky post content 17. This is a random text post.,2025-02-08 01:43:44,Entertainment,12,36,16
post_18,user25@bsky.social,Sample Bluesky post content 18. This is a random text post.,2025-02-09 21:05:44,Sports,92,2,14
post_19,user21@bsky.social,Sample Bluesky post content 19. This is a random text post.,2025-02-17 11:14:44,Science,100,31,17
post_20,user3@bsky.social,Sample Bluesky post content 20. This is a random text post.,2025-01-31 12:50:44,Politics,99,10,12
post_21,user39@bsky.social,Sample Bluesky post content 21. This is a random text post.,2025-01-31 18:13:44,Tech,39,45,13
post_22,user43@bsky.social,Sample Bluesky post content 22. This is a random text post.,2025-02-23 12:30:44,Politics,76,31,12
post_23,user20@bsky.social,Sample Bluesky post content 23. This is a random text post.,2025-02-03 16:04:44,Health,47,7,5
post_24,user49@bsky.social,Sample Bluesky post content 24. This is a random text post.,2025-02-03 22:11:44,Entertainment,53,24,7
post_25,user17@bsky.social,Sample Bluesky post content 25. This is a random text post.,2025-02-09 19:06:44,Science,2,19,14
post_26,user19@bsky.social,Sample Bluesky post content 26. This is a random text post.,2025-02-19 14:35:44,Tech,0,37,3
post_27,user7@bsky.social,Sample Bluesky post content 27. This is a random text post.,2025-02-07 19:39:44,Science,60,48,9
